name;percent_change;values
EOS;60d;-32.76135605
EOS;90d;-21.1188451
Lido DAO;1h;-1.260345
Lido DAO;24h;2.38789271
Lido DAO;7d;9.44599111
Lido DAO;30d;-46.66690325
Lido DAO;60d;-39.66425001
Lido DAO;90d;-30.69571225
Bonk;1h;-2.2040165
Bonk;24h;5.05583094
Bonk;7d;5.49060404
Bonk;30d;-27.59613852
Bonk;60d;-65.53917177
Bonk;90d;-56.12867161
PayPal USD;1h;-0.01659902
PayPal USD;24h;0.01584439
PayPal USD;7d;0.03688292
PayPal USD;30d;-0.05231423
PayPal USD;60d;0.10870787
PayPal USD;90d;-0.07784101
Gala;1h;-1.87419246
Gala;24h;0.14668452
Gala;7d;4.21505014
Gala;30d;-21.12341213
Gala;60d;-50.98784378
Gala;90d;-45.21373205
Tether Gold;1h;-0.41222552
Tether Gold;24h;-0.19304792
Tether Gold;7d;3.26116305
Tether Gold;30d;4.40451714
Tether Gold;60d;12.8118505
Tether Gold;90d;15.93885377
Tezos;1h;-1.64071185
Tezos;24h;-0.16106877
Tezos;7d;3.4657445
Tezos;30d;-17.10350386
Tezos;60d;-43.37363213
Tezos;90d;-36.38466007
PancakeSwap;1h;-3.10469586
PancakeSwap;24h;4.10257474
PancakeSwap;7d;53.88044995
PancakeSwap;30d;-5.40270016
PancakeSwap;60d;9.4944585
PancakeSwap;90d;14.14454697
Nexo;1h;-1.16004772
Nexo;24h;1.03521964
Nexo;7d;5.71157511
Nexo;30d;-16.95309236
Nexo;60d;-16.4211942
Nexo;90d;-11.5544198
The Sandbox;1h;-1.75149605
The Sandbox;24h;-0.75228318
The Sandbox;7d;3.46321267
The Sandbox;30d;-22.43492065
The Sandbox;60d;-50.79395817
The Sandbox;90d;-42.21885644
Four;1h;0.83089438
Four;24h;1.61636062
Four;7d;103.02621688
Four;30d;100.13843866
Four;60d;454.68501994
Four;90d;356.82158404
JasmyCoin;1h;-2.33482108
JasmyCoin;24h;-0.3098717
JasmyCoin;7d;3.62227399
JasmyCoin;30d;-34.14586746
JasmyCoin;60d;-51.66201991
JasmyCoin;90d;-53.40591678
BitTorrent [New];1h;-0.59127684
BitTorrent [New];24h;-0.40807978
BitTorrent [New];7d;1.04520079
BitTorrent [New];30d;-18.50699194
BitTorrent [New];60d;-35.13378525
BitTorrent [New];90d;-29.95982526
Bitcoin SV;1h;-1.36781697
Bitcoin SV;24h;-0.02831985
Bitcoin SV;7d;2.83309386
Bitcoin SV;30d;-10.42650304
Bitcoin SV;60d;-35.06174936
Bitcoin SV;90d;-30.67491528
IOTA;1h;-1.65280726
IOTA;24h;-0.86923719
IOTA;7d;1.1790132
IOTA;30d;-16.56130324
IOTA;60d;-47.83636464
IOTA;90d;-30.58081328
Flow;1h;-1.61503194
Flow;24h;-1.44147011
Flow;7d;6.18733953
Flow;30d;-16.01105239
Flow;60d;-39.91801446
Flow;90d;-35.55974767
Berachain;1h;-0.80381363
Berachain;24h;0.9843488
Berachain;7d;-1.25290731
Berachain;30d;6.63025451
Berachain;60d;511.78077318
Berachain;90d;511.78077318
Jito;1h;-2.05934013
Jito;24h;-1.25823161
Jito;7d;-2.42070503
Jito;30d;-19.42252712
Jito;60d;-34.61499928
Jito;90d;-25.17308838
Kaia;1h;-1.33924103
Kaia;24h;0.01380855
Kaia;7d;-1.01245393
Kaia;30d;-13.65997071
Kaia;60d;-50.62650935
Kaia;90d;-43.95037361
PAX Gold;1h;-0.30273772
PAX Gold;24h;-0.80447435
PAX Gold;7d;3.08977719
PAX Gold;30d;4.0930722
PAX Gold;60d;13.54912061
PAX Gold;90d;16.74382202
Ethereum Name Service;1h;-1.52041052
Ethereum Name Service;24h;4.19011667
Ethereum Name Service;7d;4.30386211
Ethereum Name Service;30d;-34.77016477
Ethereum Name Service;60d;-46.58119748
Ethereum Name Service;90d;-47.64220684
FLOKI;1h;-2.24366519
FLOKI;24h;1.41069184
FLOKI;7d;1.02058935
FLOKI;30d;-33.85079382
FLOKI;60d;-59.84372415
FLOKI;90d;-59.34530408
Neo;1h;-1.88983574
Neo;24h;-1.00430076
Neo;7d;5.74987729
Neo;30d;-21.45694251
Neo;60d;-43.74683171
Neo;90d;-35.89323828
Curve DAO Token;1h;-1.28839038
Curve DAO Token;24h;-4.25281626
Curve DAO Token;7d;8.95111867
Curve DAO Token;30d;-11.97405461
Curve DAO Token;60d;-48.73380424
Curve DAO Token;90d;-38.32451078
Helium;1h;-2.52867756
Helium;24h;1.3407777
Helium;7d;9.25585407
Helium;30d;-8.93306953
Helium;60d;-38.69482665
Helium;90d;-50.51780697
Kava;1h;0.5340343
Kava;24h;3.46738892
Kava;7d;19.81381603
Kava;30d;13.24308006
Kava;60d;13.36208864
Kava;90d;34.09900216
Pyth Network;1h;-1.97972566
Pyth Network;24h;-1.56513992
Pyth Network;7d;3.38885452
Pyth Network;30d;-25.55745366
Pyth Network;60d;-55.10256338
Pyth Network;90d;-55.61231495
Axie Infinity;1h;-1.67963576
Axie Infinity;24h;-1.23169381
Axie Infinity;7d;7.17539121
Axie Infinity;30d;-19.90122577
Axie Infinity;60d;-43.16608655
Axie Infinity;90d;-38.47260983
Raydium;1h;-2.84169218
Raydium;24h;1.08177169
Raydium;7d;13.29816922
Raydium;30d;-58.07617606
Raydium;60d;-74.49505727
Raydium;90d;-52.88073283
Zcash;1h;-1.38416461
Zcash;24h;-0.07847656
Zcash;7d;10.77371565
Zcash;30d;-0.8151583
Zcash;60d;-30.18780587
Zcash;90d;-20.9243239
Decentraland;1h;-1.36220036
Decentraland;24h;-0.20716079
Decentraland;7d;1.40863976
Decentraland;30d;-15.1192691
Decentraland;60d;-44.67264769
Decentraland;90d;-38.19670269
dYdX;1h;-2.32270119
dYdX;24h;2.29681894
dYdX;7d;9.09314623
dYdX;30d;-10.67426212
dYdX;60d;-45.71254618
dYdX;90d;-50.61105791
MultiversX;1h;-1.66536123
MultiversX;24h;-1.46110472
MultiversX;7d;-0.82114099
MultiversX;30d;-17.13739001
MultiversX;60d;-46.10242995
MultiversX;90d;-41.78684604
TrueUSD;1h;-0.02710128
TrueUSD;24h;0.01445757
TrueUSD;7d;-0.04972456
TrueUSD;30d;0.12435084
TrueUSD;60d;0.12018944
TrueUSD;90d;-0.1840584
dogwifhat;1h;-2.22222016
dogwifhat;24h;0.02429098
dogwifhat;7d;-0.40379635
dogwifhat;30d;-23.0708164
dogwifhat;60d;-69.91010213
dogwifhat;90d;-73.39997582
Ronin;1h;-1.48139995
Ronin;24h;-2.24534048
Ronin;7d;-4.36995388
Ronin;30d;-37.52860334
Ronin;60d;-53.5068645
Ronin;90d;-55.2520242
Starknet;1h;-1.62277481
Starknet;24h;-3.61696868
Starknet;7d;-4.20962887
Starknet;30d;-24.08641031
Starknet;60d;-57.5522806
Starknet;90d;-62.49145343
Core;1h;-1.95489041
Core;24h;2.79326925
Core;7d;15.61312031
Core;30d;-10.5570407
Core;60d;-48.03480496
Core;90d;-54.11642991
Arweave;1h;-1.7438381
Arweave;24h;-4.2415866
Arweave;7d;13.1824809
Arweave;30d;-22.61290299
Arweave;60d;-56.40221075
Arweave;90d;-54.41754816
Virtuals Protocol;1h;-1.76645417
Virtuals Protocol;24h;3.8296903
Virtuals Protocol;7d;10.12379334
Virtuals Protocol;30d;-38.36209372
Virtuals Protocol;60d;-76.38888552
Virtuals Protocol;90d;-68.39583341
Conflux;1h;-2.50080945
Conflux;24h;-1.56186026
Conflux;7d;9.33774171
